@RELATION wada

@ATTRIBUTE x_avg numeric
@ATTRIBUTE x_std numeric
@ATTRIBUTE y_avg numeric
@ATTRIBUTE y_std numeric
@ATTRIBUTE z_avg numeric
@ATTRIBUTE z_std numeric
@ATTRIBUTE label {hand-wash,not-hand-wash}

@DATA
-5.850427425274725,1.492492826017012,-1.9633238324065934,1.6739270728018891,6.873021788681318,6.873021788681318,hand-wash
-6.28145881959596,3.8340734477669844,-6.967039265959596,3.429359875480107,-2.6528591088585856,-2.6528591088585856,hand-wash
-4.624540782222222,3.0023461864290693,-6.272798045959596,3.9747643156984647,-5.1617993621212115,-5.1617993621212115,hand-wash
-3.6291970277000005,1.948096382799545,-7.0953531561,4.000621751170421,-0.42048157639999995,-0.42048157639999995,hand-wash
-3.450049830838384,1.6529604011232657,-7.7814909891919175,3.0358468991559073,-4.755420156565656,-4.755420156565656,hand-wash
-0.535526364427,1.563924199506599,-6.346298842000001,3.676655315020704,5.84973939975,5.84973939975,hand-wash
-1.0121113142999998,2.1324553464438347,-7.5642021596,7.074775116844084,0.10929670249999981,0.10929670249999981,hand-wash
-0.3010270649183674,1.6734594800345988,-7.54646214387755,2.9121753166157864,0.8224203855102044,0.8224203855102044,hand-wash
-0.6712161877399998,1.9882701383458474,-7.40271791654,4.3568696480236015,-0.15665820529999988,-0.15665820529999988,hand-wash
-0.7495806383939396,2.178468900651627,-7.4448335418181815,7.210291647413866,3.5235575870707074,3.5235575870707074,hand-wash
0.6767502763434345,1.6298799306463518,-8.017654406363635,2.495308855236267,1.256635265020202,1.256635265020202,hand-wash
0.6758864903399998,2.021140930098233,-8.454430942000002,3.314352362908801,-0.07679629939999995,-0.07679629939999995,hand-wash
0.4728487052800001,1.9748278623908089,-5.937780332000001,2.2058472932643927,6.7843718285399985,6.7843718285399985,hand-wash
-1.6487314612,2.087206101746424,-5.8299565899,9.6493867593434,7.186795034,7.186795034,hand-wash
-1.1569860341,1.4460921822754482,-6.993409135639999,6.683506830312624,2.0053258792000004,2.0053258792000004,hand-wash
0.07394623209375,1.4601642216263069,-8.676656786354167,2.800409570099744,-0.6204846945833332,-0.6204846945833332,hand-wash
-0.21120479572999998,2.0496120369421647,-6.431872883699999,6.844971445190389,2.1130179684,2.1130179684,hand-wash
0.6513606448282828,1.6382522860444442,-7.810727222222222,3.307203122775204,1.5268129193939393,1.5268129193939393,hand-wash
0.7190501795555555,1.4242657883246554,-8.353707176767676,2.5072536796011744,-0.7488185668686866,-0.7488185668686866,hand-wash
-0.03614301776161616,1.7664911118905562,-5.37211350050505,1.8025743836969272,7.4163957363636355,7.4163957363636355,hand-wash
0.29136609744499997,1.1722680682753797,-7.749564734999999,2.642738085233036,1.5923526992499994,1.5923526992499994,hand-wash
