289174714,-2.5447083,0.74604857,7.4544983
289174724,-2.5123756,0.735271,7.3491173
289174830,-2.5004003,0.31255004,6.446195
289174835,-2.5219555,0.5125342,6.2941113
289174845,-2.5590785,0.36164796,6.364764
289174855,-2.5327332,0.020357667,6.339617
289174865,-2.515968,-0.5783972,6.6749196
289174875,-2.6009912,-1.2765454,6.7779055
289174885,-2.9111462,-1.5376025,6.925199
289174895,-2.889591,-1.3172607,6.668932
289174905,-2.9841943,-0.97237796,6.2905188
289174915,-3.246449,-0.9196875,6.234236
289174925,-3.4308655,-0.82268924,6.1061025
289174935,-3.5530114,-0.8705896,6.0342517
289174945,-3.9314246,-1.1663746,6.0318565
289174955,-4.30864,-1.3028907,6.029462
289174965,-4.3349853,-1.4250367,5.9851537
289174975,-4.4008484,-1.8022522,6.018684
289174985,-4.6199927,-2.1531227,6.199508
289174995,-4.7110033,-2.3459215,6.314469
289175006,-4.821174,-2.4225624,6.255791
289175016,-4.9852333,-2.5614734,6.251001
289175026,-5.1528845,-2.7818153,6.461763
289175036,-5.3049684,-2.9350965,6.4653554
289175046,-5.4235215,-2.884801,6.108497
289175056,-5.459447,-3.0320947,5.9396486
289175066,-5.3923864,-3.417693,5.868995
289175076,-5.466632,-3.8799317,5.9145007
289175086,-5.532495,-4.2822948,5.8019347
289175096,-5.5612354,-4.348158,5.9216857
289175106,-5.798342,-4.2391844,6.004314
289175116,-5.9612036,-4.0260277,5.9911413
289175126,-6.211483,-3.6308496,5.725294
289175136,-6.446195,-3.2620165,5.581593
289175146,-6.573131,-3.0057495,5.478607
289175156,-6.798263,-3.4236803,5.5684204
289175166,-6.9874697,-4.233197,5.542075
289175177,-6.9671116,-4.7397437,5.5456676
289175187,-7.3491173,-4.946913,5.367239
289175197,-7.714358,-4.721781,5.430707
289175207,-8.004155,-4.2822948,5.2582655
289175217,-8.353828,-3.7769458,5.132527
289175227,-8.691525,-3.4440382,5.149292
289175241,-8.92025,-3.4703834,5.3121533
289175251,-8.758587,-3.634442,5.2007847
289175261,-8.659193,-3.5003211,4.8187795
289175271,-8.448431,-3.359015,4.047583
289175281,-8.414901,-3.4871485,3.6200721
289175291,-8.386161,-3.766168,3.5290613
289175301,-8.364606,-3.732638,3.4428406
289175311,-8.32868,-3.4763708,3.417693
289175321,-8.383766,-3.417693,3.5506165
289175331,-8.538244,-3.9410048,3.6164794
289175341,-8.701106,-4.485872,3.869154
289175351,-8.709489,-4.763694,4.0368056
289175361,-8.754993,-4.7768664,3.8966968
289175371,-8.842412,-4.2415795,3.4093103
289175381,-8.917855,-3.8931043,2.8464806
289175391,-9.230405,-3.7841308,2.5806336
289175402,-9.51182,-3.859574,3.0009594
289175412,-9.586065,-4.0008802,3.270399
289175422,-9.956097,-4.6175976,3.6356397
289175432,-10.000404,-4.9768505,4.2595425
289175442,-9.575288,-4.822372,4.240382
289175452,-9.836346,-4.6822634,3.5087037
289175462,-9.899814,-4.57329,2.8345056
289175472,-9.666299,-4.445156,2.222578
289175482,-9.705816,-4.188889,1.4561719
289175492,-10.059082,-4.2954674,1.5435901
289175502,-10.503358,-4.2032595,1.9722986
289175512,-10.750045,-3.7170703,2.7207422
289175522,-10.911709,-3.270399,2.5938063
289175532,-10.917697,-2.809358,2.0333717
289175542,-11.048225,-2.654879,1.5795153
289175552,-11.1955185,-2.8488758,1.7507592
